constituency_name,region_name,country_name,constituency_type,2017_con,2017_lab,2017_ld,2017_ukip,2017_green,2017_snp,2017_pc,2017_dup,2017_sf,2017_sdlp,2017_uup,2017_alliance,2017_other,2019_con,2019_lab,2019_ld,2019_brexit,2019_green,2019_snp,2019_pc,2019_dup,2019_sf,2019_sdlp,2019_uup,2019_alliance,2019_other
Bosworth,East Midlands,England,County,0.567,0.241,0.173,0,0.019,0,0,0,0,0,0,0,0,0.639,0.173,0.161,0,0.027,0,0,0,0,0,0,0,0
Bournemouth East,South West,England,Borough,0.519,0.356,0.065,0.029,0.025,0,0,0,0,0,0,0,0.006,0.506,0.327,0.11,0,0.042,0,0,0,0,0,0,0,0.015
Bournemouth West,South West,England,Borough,0.535,0.362,0.066,0,0.028,0,0,0,0,0,0,0,0.009,0.534,0.313,0.107,0,0.046,0,0,0,0,0,0,0,0
Bracknell,South East,England,County,0.588,0.302,0.075,0.027,0,0,0,0,0,0,0,0,0.008,0.587,0.222,0.143,0,0.038,0,0,0,0,0,0,0,0.01
Bradford East,Yorkshire and The Humber,England,Borough,0.204,0.654,0.018,0.03,0.006,0,0,0,0,0,0,0,0.088,0.219,0.63,0.075,0.061,0.015,0,0,0,0,0,0,0,0
Bradford South,Yorkshire and The Humber,England,Borough,0.382,0.545,0.013,0.043,0.009,0,0,0,0,0,0,0,0.009,0.404,0.463,0.038,0.071,0.025,0,0,0,0,0,0,0,0
Bradford West,Yorkshire and The Humber,England,Borough,0.166,0.647,0.016,0.019,0.011,0,0,0,0,0,0,0,0.142,0.152,0.762,0.03,0.035,0.018,0,0,0,0,0,0,0,0.002
Braintree,East,England,County,0.628,0.276,0.043,0.035,0.018,0,0,0,0,0,0,0,0,0.675,0.187,0.095,0,0,0,0,0,0,0,0,0,0.043
Brecon and Radnorshire,Wales,Wales,County,0.486,0.177,0.291,0.014,0,0,0.031,0,0,0,0,0,0,0.531,0.095,0.359,0,0,0,0,0,0,0,0,0,0.014
Brent Central,London,England,Borough,0.195,0.731,0.048,0.011,0.015,0,0,0,0,0,0,0,0,0.222,0.647,0.099,0,0.033,0,0,0,0,0,0,0,0
Brentford and Isleworth,London,England,Borough,0.376,0.574,0.05,0,0,0,0,0,0,0,0,0,0,0.322,0.502,0.125,0.02,0.031,0,0,0,0,0,0,0,0
Brent North,London,England,Borough,0.327,0.629,0.029,0,0.012,0,0,0,0,0,0,0,0.004,0.363,0.519,0.078,0.018,0.016,0,0,0,0,0,0,0,0.005
Brentwood and Ongar,East,England,County,0.658,0.204,0.084,0.035,0.017,0,0,0,0,0,0,0,0.002,0.686,0.137,0.136,0,0.032,0,0,0,0,0,0,0,0.01
Bridgend,Wales,Wales,County,0.398,0.507,0.021,0.018,0,0,0.041,0,0,0,0,0,0.015,0.431,0.403,0.056,0.043,0.019,0,0.048,0,0,0,0,0,0
Bridgwater and West Somerset,South West,England,County,0.551,0.286,0.109,0.036,0.018,0,0,0,0,0,0,0,0,0.621,0.198,0.135,0,0.033,0,0,0,0,0,0,0,0.013
Brigg and Goole,Yorkshire and The Humber,England,County,0.604,0.33,0.019,0.035,0.012,0,0,0,0,0,0,0,0,0.713,0.207,0.05,0,0.03,0,0,0,0,0,0,0,0
Brighton_ Kemptown,South East,England,Borough,0.383,0.583,0.03,0,0,0,0,0,0,0,0,0,0.004,0.35,0.516,0.061,0.027,0.046,0,0,0,0,0,0,0,0
Brighton_ Pavilion,South East,England,Borough,0.192,0.268,0,0.011,0.523,0,0,0,0,0,0,0,0.007,0.175,0.228,0,0.013,0.572,0,0,0,0,0,0,0,0.012
Bristol East,South West,England,Borough,0.344,0.607,0.027,0,0.022,0,0,0,0,0,0,0,0,0.324,0.531,0.068,0.036,0.04,0,0,0,0,0,0,0,0
Bristol North West,South West,England,Borough,0.418,0.507,0.052,0,0.023,0,0,0,0,0,0,0,0,0.387,0.489,0.088,0,0.035,0,0,0,0,0,0,0,0
Bristol South,South West,England,Borough,0.307,0.601,0.033,0.031,0.026,0,0,0,0,0,0,0,0.002,0.327,0.505,0.077,0.042,0.049,0,0,0,0,0,0,0,0
Bristol West,South West,England,Borough,0.138,0.659,0.073,0,0.129,0,0,0,0,0,0,0,0.001,0.117,0.623,0,0.012,0.249,0,0,0,0,0,0,0,0
Broadland,East,England,County,0.579,0.296,0.079,0.028,0.017,0,0,0,0,0,0,0,0,0.596,0.212,0.161,0,0.025,0,0,0,0,0,0,0,0.006
Bromley and Chislehurst,London,England,Borough,0.54,0.334,0.072,0.03,0.025,0,0,0,0,0,0,0,0,0.526,0.287,0.145,0,0.034,0,0,0,0,0,0,0,0.008
Bromsgrove,West Midlands,England,County,0.62,0.313,0.046,0,0.021,0,0,0,0,0,0,0,0,0.634,0.208,0.125,0,0.033,0,0,0,0,0,0,0,0
Broxbourne,East,England,Borough,0.622,0.289,0.031,0.04,0.018,0,0,0,0,0,0,0,0,0.656,0.232,0.085,0,0.027,0,0,0,0,0,0,0,0
Broxtowe,East Midlands,England,County,0.468,0.453,0.04,0.027,0.012,0,0,0,0,0,0,0,0,0.481,0.385,0,0,0.033,0,0,0,0,0,0,0,0.101
Buckingham,South East,England,County,0,0,0,0.079,0.163,0,0,0,0,0,0,0,0.758,0.584,0.12,0.262,0.02,0,0,0,0,0,0,0,0,0.014
Burnley,North West,England,Borough,0.31,0.467,0.15,0.061,0.011,0,0,0,0,0,0,0,0,0.403,0.369,0.09,0.086,0.019,0,0,0,0,0,0,0,0.033
Burton,West Midlands,England,County,0.58,0.378,0.025,0,0.017,0,0,0,0,0,0,0,0,0.607,0.309,0.055,0,0.029,0,0,0,0,0,0,0,0
Bury North,North West,England,Borough,0.445,0.536,0.019,0,0,0,0,0,0,0,0,0,0,0.462,0.46,0.034,0.026,0.017,0,0,0,0,0,0,0,0
Bury South,North West,England,Borough,0.416,0.533,0.021,0.026,0,0,0,0,0,0,0,0,0.005,0.438,0.43,0.046,0.033,0.017,0,0,0,0,0,0,0,0.035
Bury St Edmunds,East,England,County,0.592,0.295,0.057,0,0.042,0,0,0,0,0,0,0,0.014,0.61,0.206,0,0,0.157,0,0,0,0,0,0,0,0.027
Caerphilly,Wales,Wales,County,0.252,0.545,0.018,0.03,0.011,0,0.144,0,0,0,0,0,0,0.279,0.449,0,0.112,0,0,0.16,0,0,0,0,0,0
Caithness_ Sutherland and Easter Ross,Scotland,Scotland,County,0.226,0.124,0.358,0,0,0.292,0,0,0,0,0,0,0,0.165,0.062,0.372,0.036,0,0.366,0,0,0,0,0,0,0
Calder Valley,Yorkshire and The Humber,England,County,0.461,0.451,0.034,0.025,0.011,0,0,0,0,0,0,0,0.018,0.519,0.419,0.05,0,0,0,0,0,0,0,0,0,0.012
Camberwell and Peckham,London,England,Borough,0.128,0.778,0.059,0,0.028,0,0,0,0,0,0,0,0.006,0.115,0.713,0.09,0.018,0.062,0,0,0,0,0,0,0,0.002
Camborne and Redruth,South West,England,County,0.475,0.442,0.061,0,0.022,0,0,0,0,0,0,0,0,0.531,0.359,0.07,0,0.027,0,0,0,0,0,0,0,0.013
Cambridge,East,England,Borough,0.163,0.519,0.293,0,0.023,0,0,0,0,0,0,0,0.002,0.155,0.48,0.3,0.019,0.04,0,0,0,0,0,0,0,0.005
Cannock Chase,West Midlands,England,County,0.55,0.374,0.017,0.042,0.017,0,0,0,0,0,0,0,0,0.683,0.254,0,0,0.063,0,0,0,0,0,0,0,0
Canterbury,South East,England,County,0.447,0.45,0.08,0,0.023,0,0,0,0,0,0,0,0,0.452,0.483,0.057,0,0,0,0,0,0,0,0,0,0.008
Cardiff Central,Wales,Wales,Borough,0.198,0.624,0.134,0.008,0.01,0,0.025,0,0,0,0,0,0,0.201,0.612,0.151,0.024,0,0,0,0,0,0,0,0,0.012
Cardiff North,Wales,Wales,Borough,0.421,0.501,0.033,0.011,0,0,0.033,0,0,0,0,0,0,0.362,0.495,0.068,0.025,0.016,0,0.03,0,0,0,0,0,0.004
Cardiff South and Penarth,Wales,Wales,Borough,0.302,0.595,0.028,0.019,0.01,0,0.043,0,0,0,0,0,0.003,0.29,0.541,0.059,0.04,0.023,0,0.047,0,0,0,0,0,0
Cardiff West,Wales,Wales,Borough,0.298,0.567,0.026,0.015,0,0,0.095,0,0,0,0,0,0,0.28,0.518,0.059,0.035,0.025,0,0.084,0,0,0,0,0,0
Carlisle,North West,England,County,0.499,0.438,0.029,0.034,0,0,0,0,0,0,0,0,0,0.552,0.358,0.066,0,0,0,0,0,0,0,0,0,0.024
Carmarthen East and Dinefwr,Wales,Wales,County,0.263,0.298,0.022,0.024,0,0,0.393,0,0,0,0,0,0,0.345,0.21,0,0.056,0,0,0.389,0,0,0,0,0,0
Carmarthen West and South Pembrokeshire,Wales,Wales,County,0.468,0.395,0.023,0.021,0,0,0.093,0,0,0,0,0,0,0.527,0.343,0.044,0,0,0,0.086,0,0,0,0,0,0
Carshalton and Wallington,London,England,Borough,0.383,0.184,0.41,0,0.01,0,0,0,0,0,0,0,0.012,0.424,0.124,0.411,0.021,0.015,0,0,0,0,0,0,0,0.004
Castle Point,East,England,Borough,0.673,0.251,0.023,0.053,0,0,0,0,0,0,0,0,0,0.767,0.166,0.067,0,0,0,0,0,0,0,0,0,0
Central Ayrshire,Scotland,Scotland,County,0.344,0.261,0.023,0,0,0.372,0,0,0,0,0,0,0,0.348,0.141,0.049,0,0,0.462,0,0,0,0,0,0,0
Central Devon,South West,England,County,0.541,0.27,0.117,0.023,0.026,0,0,0,0,0,0,0,0.023,0.553,0.248,0.151,0,0.049,0,0,0,0,0,0,0,0
Central Suffolk and North Ipswich,East,England,County,0.601,0.297,0.043,0.029,0.029,0,0,0,0,0,0,0,0,0.627,0.211,0.115,0,0.047,0,0,0,0,0,0,0,0
Ceredigion,Wales,Wales,County,0.184,0.202,0.29,0.015,0.014,0,0.292,0,0,0,0,0,0.004,0.221,0.158,0.174,0.051,0.017,0,0.379,0,0,0,0,0,0
Charnwood,East Midlands,England,County,0.604,0.308,0.037,0.027,0.019,0,0,0,0,0,0,0,0.006,0.634,0.23,0.088,0,0.048,0,0,0,0,0,0,0,0
Chatham and Aylesford,South East,England,County,0.57,0.337,0.025,0.05,0.013,0,0,0,0,0,0,0,0.006,0.666,0.238,0.066,0,0.025,0,0,0,0,0,0,0,0.005
Cheadle,North West,England,Borough,0.446,0.191,0.363,0,0,0,0,0,0,0,0,0,0,0.46,0.123,0.418,0,0,0,0,0,0,0,0,0,0
Chelmsford,East,England,Borough,0.537,0.298,0.122,0.029,0.014,0,0,0,0,0,0,0,0,0.559,0.18,0.251,0,0,0,0,0,0,0,0,0,0.01
Chelsea and Fulham,London,England,Borough,0.526,0.332,0.11,0.012,0.019,0,0,0,0,0,0,0,0,0.499,0.232,0.259,0,0,0,0,0,0,0,0,0,0.011
Cheltenham,South West,England,Borough,0.467,0.095,0.422,0,0.017,0,0,0,0,0,0,0,0,0.48,0.049,0.463,0,0,0,0,0,0,0,0,0,0.007
Chesham and Amersham,South East,England,County,0.607,0.206,0.13,0.028,0.03,0,0,0,0,0,0,0,0,0.554,0.129,0.263,0,0.055,0,0,0,0,0,0,0,0
Chesterfield,East Midlands,England,Borough,0.348,0.548,0.054,0.034,0.016,0,0,0,0,0,0,0,0,0.37,0.402,0.088,0.106,0.025,0,0,0,0,0,0,0,0.009
Chichester,South East,England,County,0.601,0.224,0.113,0.028,0.033,0,0,0,0,0,0,0,0.001,0.578,0.148,0.227,0,0.041,0,0,0,0,0,0,0,0.005
Chingford and Woodford Green,London,England,County,0.491,0.439,0.044,0,0.026,0,0,0,0,0,0,0,0,0.485,0.459,0.057,0,0,0,0,0,0,0,0,0,0
Chippenham,South West,England,County,0.547,0.197,0.256,0,0,0,0,0,0,0,0,0,0,0.543,0.112,0.345,0,0,0,0,0,0,0,0,0,0
Chipping Barnet,London,England,Borough,0.463,0.457,0.054,0,0.025,0,0,0,0,0,0,0,0,0.447,0.426,0.103,0,0.022,0,0,0,0,0,0,0,0.001
Chorley,North West,England,County,0.418,0.553,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.91
Christchurch,South West,England,County,0.696,0.199,0.079,0,0.026,0,0,0,0,0,0,0,0,0.652,0.126,0.179,0,0.043,0,0,0,0,0,0,0,0
Cities Of London and Westminster,London,England,Borough,0.466,0.384,0.11,0.011,0.021,0,0,0,0,0,0,0,0.007,0.399,0.272,0.307,0,0.017,0,0,0,0,0,0,0,0.005
City Of Chester,North West,England,County,0.405,0.568,0.027,0,0,0,0,0,0,0,0,0,0,0.383,0.496,0.068,0.025,0.026,0,0,0,0,0,0,0,0
City Of Durham,North East,England,County,0.298,0.554,0.099,0.023,0.016,0,0,0,0,0,0,0,0.009,0.317,0.42,0.162,0.067,0.033,0,0,0,0,0,0,0,0
Clacton,East,England,County,0.612,0.254,0.02,0.076,0.016,0,0,0,0,0,0,0,0.021,0.723,0.155,0.058,0,0.028,0,0,0,0,0,0,0,0.036
Cleethorpes,Yorkshire and The Humber,England,County,0.571,0.354,0.023,0.042,0.01,0,0,0,0,0,0,0,0,0.69,0.228,0.055,0,0.028,0,0,0,0,0,0,0,0
Clwyd South,Wales,Wales,County,0.391,0.507,0.02,0.021,0,0,0.061,0,0,0,0,0,0,0.447,0.413,0.041,0.04,0,0,0.059,0,0,0,0,0,0
Clwyd West,Wales,Wales,County,0.481,0.396,0.027,0,0,0,0.096,0,0,0,0,0,0,0.507,0.34,0.056,0,0,0,0.097,0,0,0,0,0,0
Coatbridge_ Chryston and Bellshill,Scotland,Scotland,Borough,0.162,0.426,0.02,0,0,0.391,0,0,0,0,0,0,0,0.127,0.354,0.032,0,0.017,0.47,0,0,0,0,0,0,0
Colchester,East,England,Borough,0.459,0.353,0.17,0,0.015,0,0,0,0,0,0,0,0.003,0.504,0.328,0.139,0,0.029,0,0,0,0,0,0,0,0
Colne Valley,Yorkshire and The Humber,England,County,0.462,0.477,0.041,0,0.015,0,0,0,0,0,0,0,0.005,0.484,0.4,0.063,0.021,0.018,0,0,0,0,0,0,0,0.014
Congleton,North West,England,County,0.566,0.342,0.052,0.023,0.018,0,0,0,0,0,0,0,0,0.59,0.265,0.105,0,0.028,0,0,0,0,0,0,0,0.011
Copeland,North West,England,County,0.491,0.451,0.033,0.025,0,0,0,0,0,0,0,0,0,0.537,0.4,0.044,0,0.018,0,0,0,0,0,0,0,0
Corby,East Midlands,England,County,0.492,0.447,0.026,0.025,0.01,0,0,0,0,0,0,0,0,0.552,0.383,0.065,0,0,0,0,0,0,0,0,0,0
Coventry North East,West Midlands,England,Borough,0.299,0.634,0.025,0.029,0.011,0,0,0,0,0,0,0,0.002,0.354,0.527,0.046,0.047,0.026,0,0,0,0,0,0,0,0
Coventry North West,West Midlands,England,Borough,0.367,0.54,0.026,0.031,0.013,0,0,0,0,0,0,0,0.023,0.434,0.438,0.057,0.041,0.03,0,0,0,0,0,0,0,0
Coventry South,West Midlands,England,Borough,0.381,0.55,0.029,0.022,0.013,0,0,0,0,0,0,0,0.005,0.425,0.434,0.075,0.032,0.024,0,0,0,0,0,0,0,0.01
Crawley,South East,England,Borough,0.506,0.457,0.037,0,0,0,0,0,0,0,0,0,0,0.542,0.374,0.055,0,0.029,0,0,0,0,0,0,0,0
Crewe and Nantwich,North West,England,County,0.47,0.471,0.024,0.034,0,0,0,0,0,0,0,0,0,0.531,0.374,0.048,0.026,0.018,0,0,0,0,0,0,0,0.003
Croydon Central,London,England,Borough,0.424,0.523,0.019,0.018,0.011,0,0,0,0,0,0,0,0.004,0.392,0.502,0.065,0.018,0.022,0,0,0,0,0,0,0,0
Croydon North,London,England,Borough,0.199,0.742,0.028,0.013,0.016,0,0,0,0,0,0,0,0.003,0.213,0.656,0.08,0.015,0.029,0,0,0,0,0,0,0,0.006
Croydon South,London,England,Borough,0.544,0.358,0.058,0.018,0.018,0,0,0,0,0,0,0,0.003,0.522,0.314,0.126,0,0.03,0,0,0,0,0,0,0,0.007
Cumbernauld_ Kilsyth and Kirkintilloch East,Scotland,Scotland,County,0.183,0.339,0.028,0.014,0,0.436,0,0,0,0,0,0,0,0.162,0.245,0.065,0,0,0.529,0,0,0,0,0,0,0
Cynon Valley,Wales,Wales,County,0.194,0.61,0.018,0.04,0,0,0.138,0,0,0,0,0,0,0.222,0.514,0.031,0.101,0,0,0.085,0,0,0,0,0,0.047
Dagenham and Rainham,London,England,Borough,0.399,0.501,0.01,0.071,0.012,0,0,0,0,0,0,0,0.007,0.438,0.445,0.027,0.066,0.014,0,0,0,0,0,0,0,0.01
Darlington,North East,England,Borough,0.433,0.506,0.023,0.026,0.012,0,0,0,0,0,0,0,0,0.481,0.405,0.048,0.035,0.024,0,0,0,0,0,0,0,0.007
Dartford,South East,England,County,0.576,0.332,0.026,0.047,0.015,0,0,0,0,0,0,0,0.004,0.629,0.275,0.069,0,0.027,0,0,0,0,0,0,0,0
Daventry,East Midlands,England,County,0.637,0.247,0.072,0.027,0.017,0,0,0,0,0,0,0,0,0.646,0.191,0.123,0,0.041,0,0,0,0,0,0,0,0
Delyn,Wales,Wales,County,0.414,0.522,0.026,0,0,0,0.038,0,0,0,0,0,0,0.437,0.414,0.061,0.051,0,0,0.037,0,0,0,0,0,0
Denton and Reddish,North West,England,Borough,0.28,0.635,0.022,0.045,0.012,0,0,0,0,0,0,0,0.005,0.341,0.501,0.043,0.079,0.029,0,0,0,0,0,0,0,0.008
Derby North,East Midlands,England,Borough,0.444,0.485,0.046,0.024,0,0,0,0,0,0,0,0,0,0.452,0.398,0.073,0.041,0.022,0,0,0,0,0,0,0,0.014
Derbyshire Dales,East Midlands,England,County,0.6,0.311,0.063,0,0.02,0,0,0,0,0,0,0,0.006,0.587,0.239,0.132,0,0.041,0,0,0,0,0,0,0,0
Derby South,East Midlands,England,Borough,0.335,0.583,0.027,0.044,0.01,0,0,0,0,0,0,0,0,0.369,0.511,0.062,0.058,0,0,0,0,0,0,0,0,0
Devizes,South West,England,County,0.627,0.21,0.093,0.034,0.032,0,0,0,0,0,0,0,0.004,0.631,0.154,0.16,0,0.055,0,0,0,0,0,0,0,0
Dewsbury,Yorkshire and The Humber,England,County,0.451,0.51,0.021,0,0.018,0,0,0,0,0,0,0,0,0.464,0.437,0.043,0.033,0.019,0,0,0,0,0,0,0,0.004
Doncaster Central,Yorkshire and The Humber,England,Borough,0.344,0.579,0.023,0,0,0,0,0,0,0,0,0,0.055,0.345,0.4,0.042,0.165,0.024,0,0,0,0,0,0,0,0.024
Doncaster North,Yorkshire and The Humber,England,County,0.276,0.608,0.017,0.065,0,0,0,0,0,0,0,0,0.035,0.329,0.387,0.036,0.204,0,0,0,0,0,0,0,0,0.045
Don Valley,Yorkshire and The Humber,England,County,0.417,0.53,0.019,0,0,0,0,0,0,0,0,0,0.035,0.432,0.352,0.042,0.137,0.019,0,0,0,0,0,0,0,0.018
Dover,South East,England,County,0.524,0.4,0.026,0.033,0.018,0,0,0,0,0,0,0,0,0.569,0.326,0.057,0,0.027,0,0,0,0,0,0,0,0.021
Dudley North,West Midlands,England,Borough,0.464,0.465,0.009,0.055,0.006,0,0,0,0,0,0,0,0,0.631,0.316,0.033,0,0.02,0,0,0,0,0,0,0,0
Dudley South,West Midlands,England,Borough,0.564,0.362,0.016,0.047,0.01,0,0,0,0,0,0,0,0,0.679,0.253,0.044,0,0.024,0,0,0,0,0,0,0,0
Dulwich and West Norwood,London,England,Borough,0.195,0.696,0.08,0,0.025,0,0,0,0,0,0,0,0.004,0.164,0.655,0,0.01,0.165,0,0,0,0,0,0,0,0.006
Dumfries and Galloway,Scotland,Scotland,County,0.433,0.209,0.024,0,0,0.324,0,0,0,0,0,0,0.01,0.441,0.092,0.061,0,0,0.406,0,0,0,0,0,0,0
Dumfriesshire_ Clydesdale and Tweeddale,Scotland,Scotland,County,0.494,0.165,0.04,0,0,0.301,0,0,0,0,0,0,0,0.46,0.085,0.072,0,0,0.383,0,0,0,0,0,0,0
Dundee East,Scotland,Scotland,Borough,0.274,0.26,0.038,0,0,0.428,0,0,0,0,0,0,0,0.243,0.134,0.079,0,0,0.538,0,0,0,0,0,0,0.007
Dundee West,Scotland,Scotland,Borough,0.162,0.331,0.031,0,0,0.467,0,0,0,0,0,0,0.01,0.124,0.243,0.059,0.031,0,0.538,0,0,0,0,0,0,0.006
Dunfermline and West Fife,Scotland,Scotland,County,0.247,0.339,0.059,0,0,0.355,0,0,0,0,0,0,0,0.21,0.244,0.08,0,0.024,0.444,0,0,0,0,0,0,0
Dwyfor Meirionnydd,Wales,Wales,County,0.291,0.207,0.031,0.02,0,0,0.451,0,0,0,0,0,0,0.324,0.134,0,0.059,0,0,0.483,0,0,0,0,0,0
Ealing Central and Acton,London,England,Borough,0.347,0.597,0.056,0,0,0,0,0,0,0,0,0,0,0.271,0.513,0.172,0.012,0.032,0,0,0,0,0,0,0,0
Ealing North,London,England,Borough,0.285,0.66,0.024,0.018,0.014,0,0,0,0,0,0,0,0,0.318,0.565,0.088,0,0.029,0,0,0,0,0,0,0,0
Ealing_ Southall,London,England,Borough,0.213,0.703,0.042,0.011,0.023,0,0,0,0,0,0,0,0.008,0.227,0.608,0.093,0.021,0.04,0,0,0,0,0,0,0,0.011
Easington,North East,England,County,0.227,0.637,0.013,0.047,0.011,0,0,0,0,0,0,0,0.065,0.264,0.455,0.044,0.195,0,0,0,0,0,0,0,0,0.042
East Antrim,Northern Ireland,Northern Ireland,County,0.025,0,0,0,0,0,0,0.573,0.093,0.034,0.119,0.156,0,0.028,0,0,0,0.018,0,0,0.453,0.057,0.024,0.147,0.273,0
Eastbourne,South East,England,Borough,0.441,0.081,0.469,0,0.009,0,0,0,0,0,0,0,0,0.489,0.07,0.41,0.028,0,0,0,0,0,0,0,0,0.003
East Devon,South West,England,County,0.485,0.114,0.024,0.02,0,0,0,0,0,0,0,0,0.357,0.508,0.045,0.028,0,0.011,0,0,0,0,0,0,0,0.408
East Dunbartonshire,Scotland,Scotland,County,0.146,0.145,0.406,0,0,0.303,0,0,0,0,0,0,0,0.141,0.091,0.368,0,0.017,0.371,0,0,0,0,0,0,0.012
East Ham,London,England,Borough,0.128,0.832,0.012,0.012,0.008,0,0,0,0,0,0,0,0.008,0.156,0.763,0.04,0.02,0.016,0,0,0,0,0,0,0,0.005
East Hampshire,South East,England,County,0.636,0.17,0.152,0,0.032,0,0,0,0,0,0,0,0.01,0.588,0.111,0.242,0,0.046,0,0,0,0,0,0,0,0.014
East Kilbride_ Strathaven and Lesmahagow,Scotland,Scotland,County,0.253,0.317,0.029,0.012,0,0.389,0,0,0,0,0,0,0,0.212,0.227,0.067,0,0.02,0.464,0,0,0,0,0,0,0.01
Eastleigh,South East,England,Borough,0.504,0.2,0.257,0.026,0.013,0,0,0,0,0,0,0,0,0.554,0.128,0.29,0,0.028,0,0,0,0,0,0,0,0
East Londonderry,Northern Ireland,Northern Ireland,County,0.008,0,0,0,0,0,0,0.481,0.265,0.108,0.076,0.062,0,0,0,0,0,0,0,0,0.401,0.156,0.157,0.092,0.151,0.044
East Lothian,Scotland,Scotland,County,0.296,0.361,0.031,0,0,0.306,0,0,0,0,0,0,0.007,0.265,0.295,0.07,0,0,0.362,0,0,0,0,0,0,0.008
East Renfrewshire,Scotland,Scotland,County,0.4,0.267,0.021,0,0,0.312,0,0,0,0,0,0,0,0.351,0.124,0.075,0,0,0.449,0,0,0,0,0,0,0
East Surrey,South East,England,County,0.596,0.192,0.105,0.038,0.019,0,0,0,0,0,0,0,0.05,0.597,0.138,0.194,0,0.039,0,0,0,0,0,0,0,0.032
East Worthing and Shoreham,South East,England,County,0.489,0.393,0.047,0.027,0.024,0,0,0,0,0,0,0,0.019,0.51,0.37,0.078,0,0.038,0,0,0,0,0,0,0,0.005
East Yorkshire,Yorkshire and The Humber,England,County,0.583,0.305,0.04,0.037,0.017,0,0,0,0,0,0,0,0.019,0.644,0.212,0.08,0,0.032,0,0,0,0,0,0,0,0.032
Eddisbury,North West,England,County,0.569,0.336,0.055,0.022,0.015,0,0,0,0,0,0,0,0.003,0.568,0.22,0.181,0,0.022,0,0,0,0,0,0,0,0.009
Edinburgh East,Scotland,Scotland,Borough,0.186,0.347,0.042,0,0,0.425,0,0,0,0,0,0,0,0.137,0.267,0.069,0,0.043,0.484,0,0,0,0,0,0,0
Edinburgh North and Leith,Scotland,Scotland,Borough,0.272,0.312,0.046,0,0.031,0.34,0,0,0,0,0,0,0,0.185,0.221,0.112,0.009,0.033,0.437,0,0,0,0,0,0,0.002
Edinburgh South,Scotland,Scotland,Borough,0.197,0.549,0.029,0,0,0.225,0,0,0,0,0,0,0,0.164,0.477,0.077,0,0.027,0.254,0,0,0,0,0,0,0
Edinburgh South West,Scotland,Scotland,Borough,0.334,0.268,0.043,0,0,0.356,0,0,0,0,0,0,0,0.246,0.143,0.095,0.012,0.024,0.476,0,0,0,0,0,0,0.002
Edinburgh West,Scotland,Scotland,Borough,0.219,0.149,0.343,0,0,0.286,0,0,0,0,0,0,0.003,0.17,0.082,0.399,0,0.019,0.33,0,0,0,0,0,0,0
Edmonton,London,England,Borough,0.231,0.715,0.02,0.02,0.014,0,0,0,0,0,0,0,0,0.253,0.65,0.053,0.021,0.021,0,0,0,0,0,0,0,0.002
Ellesmere Port and Neston,North West,England,County,0.368,0.592,0.018,0.016,0.007,0,0,0,0,0,0,0,0,0.354,0.533,0.049,0.044,0.02,0,0,0,0,0,0,0,0
Elmet and Rothwell,Yorkshire and The Humber,England,County,0.543,0.379,0.044,0,0.017,0,0,0,0,0,0,0,0.018,0.579,0.281,0.089,0,0.03,0,0,0,0,0,0,0,0.021
Eltham,London,England,Borough,0.408,0.544,0.032,0,0,0,0,0,0,0,0,0,0.016,0.397,0.47,0.067,0.035,0.03,0,0,0,0,0,0,0,0
Enfield North,London,England,Borough,0.369,0.58,0.021,0.017,0.012,0,0,0,0,0,0,0,0,0.374,0.518,0.065,0.018,0.025,0,0,0,0,0,0,0,0
Enfield_ Southgate,London,England,Borough,0.427,0.517,0.04,0,0.016,0,0,0,0,0,0,0,0,0.391,0.485,0.092,0.01,0.022,0,0,0,0,0,0,0,0
Epping Forest,East,England,County,0.62,0.26,0.057,0.037,0.024,0,0,0,0,0,0,0,0.002,0.644,0.203,0.107,0,0.039,0,0,0,0,0,0,0,0.007
Epsom and Ewell,South East,England,Borough,0.596,0.25,0.125,0,0.029,0,0,0,0,0,0,0,0,0.535,0.172,0.235,0,0.034,0,0,0,0,0,0,0,0.024
Erewash,East Midlands,England,County,0.521,0.43,0.025,0,0.014,0,0,0,0,0,0,0,0.01,0.565,0.347,0.051,0,0.023,0,0,0,0,0,0,0,0.014
Erith and Thamesmead,London,England,Borough,0.35,0.575,0.017,0.039,0.011,0,0,0,0,0,0,0,0.007,0.39,0.48,0.048,0.054,0.021,0,0,0,0,0,0,0,0.007
Esher and Walton,South East,England,Borough,0.586,0.197,0.173,0.017,0.018,0,0,0,0,0,0,0,0.009,0.494,0.045,0.45,0,0,0,0,0,0,0,0,0,0.011
Exeter,South West,England,Borough,0.329,0.62,0.028,0,0.019,0,0,0,0,0,0,0,0.005,0.347,0.532,0,0.025,0.086,0,0,0,0,0,0,0,0.01
Falkirk,Scotland,Scotland,County,0.262,0.298,0.021,0.013,0.017,0.389,0,0,0,0,0,0,0,0.258,0.112,0.071,0,0.034,0.525,0,0,0,0,0,0,0
Fareham,South East,England,County,0.63,0.252,0.068,0.027,0.023,0,0,0,0,0,0,0,0,0.637,0.181,0.14,0,0.042,0,0,0,0,0,0,0,0
Faversham and Mid Kent,South East,England,County,0.611,0.261,0.065,0.034,0.029,0,0,0,0,0,0,0,0,0.632,0.196,0.122,0,0.042,0,0,0,0,0,0,0,0.007
