constituency_name,region_name,country_name,constituency_type,2017_con,2017_lab,2017_ld,2017_ukip,2017_green,2017_snp,2017_pc,2017_dup,2017_sf,2017_sdlp,2017_uup,2017_alliance,2017_other,2019_con,2019_lab,2019_ld,2019_brexit,2019_green,2019_snp,2019_pc,2019_dup,2019_sf,2019_sdlp,2019_uup,2019_alliance,2019_other
West Dorset,South West,England,County,0.555,0.183,0.235,0,0.027,0,0,0,0,0,0,0,0,0.551,0.094,0.32,0,0.035,0,0,0,0,0,0,0,0
West Dunbartonshire,Scotland,Scotland,County,0.172,0.377,0.023,0,0,0.429,0,0,0,0,0,0,0,0.143,0.285,0.042,0,0.019,0.496,0,0,0,0,0,0,0.016
West Ham,London,England,Borough,0.162,0.767,0.03,0.019,0.016,0,0,0,0,0,0,0,0.006,0.163,0.701,0.069,0.028,0.03,0,0,0,0,0,0,0,0.01
West Lancashire,North West,England,County,0.374,0.589,0.02,0,0.013,0,0,0,0,0,0,0,0.005,0.363,0.521,0.049,0.043,0.024,0,0,0,0,0,0,0,0
Westminster North,London,England,Borough,0.333,0.599,0.052,0,0.014,0,0,0,0,0,0,0,0.002,0.291,0.542,0.13,0.01,0.025,0,0,0,0,0,0,0,0.003
Westmorland and Lonsdale,North West,England,County,0.443,0.093,0.458,0,0,0,0,0,0,0,0,0,0.006,0.453,0.044,0.489,0.014,0,0,0,0,0,0,0,0,0
Weston-Super-Mare,South West,England,County,0.531,0.327,0.092,0.034,0.016,0,0,0,0,0,0,0,0,0.575,0.267,0.125,0,0.033,0,0,0,0,0,0,0,0
West Suffolk,East,England,County,0.612,0.282,0.042,0.046,0.018,0,0,0,0,0,0,0,0,0.658,0.207,0.091,0,0.044,0,0,0,0,0,0,0,0
West Tyrone,Northern Ireland,Northern Ireland,County,0,0,0,0,0.01,0,0,0.269,0.507,0.13,0.052,0.023,0.009,0,0,0,0,0.013,0,0,0.22,0.402,0.178,0.067,0.097,0.024
West Worcestershire,West Midlands,England,County,0.615,0.237,0.094,0.026,0.028,0,0,0,0,0,0,0,0,0.607,0.165,0.181,0,0.047,0,0,0,0,0,0,0,0
Wigan,North West,England,County,0.285,0.622,0.019,0.058,0.016,0,0,0,0,0,0,0,0,0.318,0.467,0.054,0.132,0.029,0,0,0,0,0,0,0,0
Wimbledon,London,England,Borough,0.465,0.356,0.145,0.011,0.024,0,0,0,0,0,0,0,0,0.384,0.237,0.372,0,0,0,0,0,0,0,0,0,0.007
Winchester,South East,England,County,0.52,0.105,0.345,0.012,0.015,0,0,0,0,0,0,0,0.003,0.483,0.046,0.466,0,0,0,0,0,0,0,0,0,0.005
Windsor,South East,England,County,0.644,0.229,0.101,0,0.027,0,0,0,0,0,0,0,0,0.586,0.152,0.213,0,0.033,0,0,0,0,0,0,0,0.016
Wirral South,North West,England,County,0.388,0.572,0.029,0,0.01,0,0,0,0,0,0,0,0,0.372,0.512,0.067,0.028,0.022,0,0,0,0,0,0,0,0
Wirral West,North West,England,County,0.421,0.543,0.026,0,0.01,0,0,0,0,0,0,0,0,0.412,0.482,0.063,0.02,0.022,0,0,0,0,0,0,0,0
Witham,East,England,County,0.643,0.264,0.055,0,0.037,0,0,0,0,0,0,0,0,0.666,0.178,0.093,0,0.063,0,0,0,0,0,0,0,0
Witney,South East,England,County,0.555,0.207,0.204,0.016,0.017,0,0,0,0,0,0,0,0,0.552,0.143,0.305,0,0,0,0,0,0,0,0,0,0
Woking,South East,England,County,0.541,0.239,0.176,0.021,0.02,0,0,0,0,0,0,0,0.004,0.489,0.164,0.308,0,0.028,0,0,0,0,0,0,0,0.011
Wokingham,South East,England,County,0.566,0.251,0.159,0,0.023,0,0,0,0,0,0,0,0,0.496,0.104,0.377,0,0.022,0,0,0,0,0,0,0,0.001
Wolverhampton North East,West Midlands,England,Borough,0.403,0.528,0.016,0.041,0.013,0,0,0,0,0,0,0,0,0.517,0.398,0.028,0.039,0.018,0,0,0,0,0,0,0,0
Wolverhampton South East,West Midlands,England,Borough,0.348,0.582,0.012,0.046,0.012,0,0,0,0,0,0,0,0,0.427,0.464,0.03,0.063,0.016,0,0,0,0,0,0,0,0
Wolverhampton South West,West Midlands,England,Borough,0.442,0.494,0.019,0.024,0.014,0,0,0,0,0,0,0,0.008,0.483,0.443,0.05,0.025,0,0,0,0,0,0,0,0,0
Worcester,West Midlands,England,Borough,0.481,0.432,0.034,0.026,0.024,0,0,0,0,0,0,0,0.003,0.508,0.375,0.072,0,0.033,0,0,0,0,0,0,0,0.011
Workington,North West,England,County,0.417,0.511,0.027,0.037,0,0,0,0,0,0,0,0,0.007,0.493,0.392,0.037,0.042,0.014,0,0,0,0,0,0,0,0.022
Worsley and Eccles South,North West,England,County,0.387,0.571,0.024,0,0.018,0,0,0,0,0,0,0,0,0.385,0.457,0.056,0.072,0.029,0,0,0,0,0,0,0,0
